name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42663,0.0003,3509,1,74,-1.3821,-0.2403,0,0.3892,0.5,0.2735,-0.2449,0.0398,0.0,-0.5682
34339,0.0002,552,2,119,-0.3234,-0.9143,1,0.2814,1.0,1.0,-1.0014,0.2358,0.0,0.5715
47319,0.0003,6485,1,25,-0.5848,-1.0436,0,1.0,0.0,0.4274,-1.4282,0.0653,0.0,-0.8037
1599,0.0003,9822,1,214,-0.1955,-0.0834,0,0.3144,0.2,1.0,-0.8893,0.1477,0.0,1.2097
30891,0.0002,2797,2,64,-0.1031,-0.8177,1,0.1796,0.2,1.0,1.3716,0.4886,0.0,-0.6593
20795,0.0003,8154,2,64,0.0035,-0.7133,1,0.1497,0.0,0.0342,-0.357,0.0114,0.0,-0.8569
14380,0.0003,6361,1,214,-0.3204,-0.2116,1,0.2545,0.2,1.0,0.5095,0.4347,1.0,1.3312
43220,0.0037,1009,1,28,-0.5278,0.4398,1,0.1946,0.3,0.4103,0.9395,0.0767,0.0,1.5516
39380,0.0003,9259,1,158,-0.8596,-0.4961,0,0.3922,0.3,1.0,1.0483,0.9631,0.0,0.7158
24504,0.0002,3050,1,41,-0.7857,-0.3158,1,0.2934,0.6,0.2735,1.4783,0.054,1.0,0.5487
1943,0.0003,10427,1,158,-0.8962,-0.4691,0,0.7485,0.6,0.359,0.4007,0.0824,0.0,0.3436
10686,0.0003,1944,1,214,-0.3521,-0.0908,0,0.2994,0.4,1.0,0.5106,0.4432,0.0,-0.8569
41981,0.0002,10502,1,28,-0.5165,0.7729,0,0.3144,0.2,1.0,0.0784,0.2955,0.4,-0.7885
25472,0.0002,2254,2,202,1.2676,-0.2004,0,0.4192,0.2,1.0,-1.1059,0.1989,0.0,0.6475
45278,0.0003,2934,2,94,1.8283,0.194,1,0.2665,0.0,0.0171,-0.8872,0.0284,0.0,1.9163
10183,0.0003,7985,2,34,0.2057,-1.3172,1,0.2934,1.0,0.5128,-1.7547,0.0739,0.4,1.9087
44183,0.0003,9504,1,13,-0.8264,0.8416,0,0.3743,0.6,1.0,1.1604,0.3466,0.4,1.506
47224,0.0001,9803,2,94,1.7316,0.0827,1,0.1796,0.2,0.188,-1.5435,0.2443,0.8,0.807
22429,0.0,752,1,31,-0.9087,-1.2853,0,0.524,0.1,1.0,0.725,0.5909,0.8,1.7415
29125,0.0002,7027,2,206,2.0356,0.3168,1,0.1946,0.1,1.0,-1.7482,0.1676,0.0,1.5136
1717,0.0004,702,2,209,0.0375,-1.3303,0,1.0,0.3,0.7863,0.0773,0.1534,0.4,0.9893
46467,0.0004,9331,1,214,-0.2879,0.3451,1,0.3024,0.2,1.0,1.2628,0.8551,0.0,0.298
5718,0.0004,1419,1,151,-1.098,-0.7274,0,0.6587,1.0,1.0,-1.6405,0.2216,0.0,-0.7885
24158,0.0003,9504,1,13,-0.8338,0.8361,0,0.3743,1.0,1.0,1.1561,0.4119,0.4,0.184
28548,0.0004,3059,1,214,-0.2645,0.1632,0,0.2395,1.0,0.4957,0.9395,0.1108,0.0,0.8298
955,0.0004,2474,2,94,1.4809,0.2786,1,0.2994,0.1,1.0,0.6173,0.4545,0.0,1.7719
41959,0.0004,4825,1,85,-0.8737,-0.9675,0,0.5988,1.0,0.3248,-0.0326,0.054,0.0,0.7234
44438,0.0002,6345,2,95,0.486,-1.0499,1,0.1766,0.1,1.0,-0.1371,0.8494,0.4,1.2629
15128,0.0002,3050,1,41,-0.7739,-0.3082,1,0.3743,0.1,0.3248,-1.6459,0.054,1.0,1.0425
5433,0.0004,9088,2,64,-0.0024,-0.7501,0,0.4192,0.6,0.2051,-0.6695,0.0341,0.0,0.3891
31577,0.0002,2263,1,182,-1.1142,-0.9465,0,0.3593,1.0,1.0,1.3781,1.0,0.4,0.6019
1283,0.0003,1500,2,64,-0.0651,-0.7405,0,1.0,0.1,0.1197,-0.8893,0.0142,1.0,1.4072
29750,0.0004,7805,2,112,0.2585,-0.7002,0,0.5958,0.4,0.6496,-1.6394,0.1051,0.0,1.1185
1698,0.0004,329,1,214,-0.1754,-0.0834,0,0.9731,0.2,1.0,0.6173,0.8523,0.0,-0.0439
12866,0.0004,9812,2,202,0.9095,-0.5987,0,0.7036,0.5,0.4615,1.0462,0.0739,0.0,0.6551
20780,0.0003,1500,2,64,-0.0623,-0.6882,0,0.6737,0.0,1.0,-1.107,0.2955,1.0,1.4148
18757,0.0005,3156,1,182,-1.1183,-0.8625,1,0.2964,0.1,1.0,0.2929,0.9063,0.8,-0.7049
41426,0.0005,3002,2,94,1.8192,0.1427,0,0.509,0.1,1.0,-1.7525,0.5739,0.0,1.5592
2106,0.0005,10648,1,182,-1.1795,-0.6773,0,1.0,0.1,0.2735,1.3781,0.0653,0.4,0.7842
46958,0.0005,10007,2,202,0.913,-0.5766,0,0.509,0.6,0.2222,0.9406,0.0313,0.0,0.845
18032,0.0005,4747,2,64,-0.1195,-0.8415,0,0.2994,0.3,0.4274,-0.7772,0.0625,0.0,-0.8569
24034,0.0002,5432,1,159,-1.3467,-0.1666,1,0.2246,0.1,0.1538,-1.3182,0.0199,0.0,1.6047
28508,0.0241,4918,1,214,-0.1789,-0.2798,1,0.2695,0.0,0.1538,0.0817,0.0199,0.0,1.0045
19952,0.0005,6174,2,201,0.9053,0.1692,0,0.4491,0.4,0.359,-0.2427,0.0511,0.0,0.5791
37152,0.0005,3324,2,206,2.3957,0.6313,1,0.2545,1.0,0.6154,-0.0272,0.0909,0.0,1.4756
4684,0.0001,655,1,13,-0.8414,-0.0076,1,0.2096,0.2,1.0,-0.3537,0.1619,0.4,1.4984
3017,0.0005,5936,2,94,1.6096,0.1495,0,0.3593,0.2,1.0,0.294,0.4006,0.8,0.7614
42552,0.0005,1922,1,41,-0.8263,-0.2479,1,0.2665,0.2,1.0,-1.537,0.6648,0.0,1.2553
41184,0.0005,10523,2,64,-0.0924,-1.0095,0,0.5539,0.4,1.0,0.8328,0.1847,0.0,0.731
29740,0.0005,9733,1,91,0.1109,0.1124,1,0.1497,0.2,1.0,0.2929,0.5256,0.0,-0.8569
45075,0.0005,2158,2,119,-0.2863,-0.9312,0,0.3144,0.2,0.547,-0.3526,0.0795,0.0,-0.7353
29159,0.0004,5876,2,95,0.7123,-0.8066,1,0.3892,0.1,0.8547,0.9395,0.125,0.8,0.921
26408,0.0005,10372,2,209,0.1013,-1.3259,0,0.3443,1.0,0.4444,-1.7525,0.0682,0.0,-0.7657
37118,0.0005,9932,1,76,-1.7904,0.5985,1,0.2305,0.1,0.0342,-1.759,0.0028,0.0,0.4955
36633,0.0005,10783,1,41,-0.768,-0.2449,1,0.2275,0.1,1.0,0.725,1.0,0.8,1.2325
18947,0.0005,5600,1,13,-0.848,0.4856,0,0.3743,0.2,1.0,0.6173,0.5909,0.4,0.3815
22701,0.0004,9059,1,41,-0.7864,-0.3608,1,0.4042,0.3,1.0,-1.7525,0.2159,0.8,1.9163
28647,0.0005,358,1,91,0.0952,0.0257,0,0.7485,1.0,0.0513,1.3727,0.0057,0.0,-0.5985
41615,0.0005,2898,1,214,-0.2457,0.1656,0,0.5958,0.2,0.1709,-0.6759,0.0256,0.0,1.2705
42173,0.0005,9184,1,42,-0.7975,-1.0204,0,0.4192,0.1,0.0684,0.7229,0.0085,0.0,-0.8569
19576,0.0005,3445,3,77,0.2094,2.4097,1,0.4192,0.1,0.0171,0.1894,0.0,0.0,-0.8493
18948,0.0005,5600,1,13,-0.8508,0.5233,0,0.3443,0.2,1.0,0.294,0.4858,0.4,0.4347
25414,0.0005,5399,1,214,-0.2392,0.4103,0,0.479,0.2,0.188,-1.6448,0.0284,0.0,0.5715
36052,0.0005,7256,1,214,-0.2584,-0.1344,0,0.5838,0.3,1.0,-0.0293,0.6193,0.0,0.769
29733,0.0005,8193,2,64,-0.0994,-0.7782,0,0.5838,0.2,0.5128,-0.0293,0.0767,0.0,1.0273
14316,0.0003,6361,1,214,-0.3187,-0.1759,1,0.2395,0.2,1.0,0.5095,0.5256,1.0,1.1337
42554,0.0006,7947,1,80,-0.6995,-0.51,1,0.1317,0.7,0.4615,1.2639,0.2955,1.0,1.2705
41519,0.0005,5329,2,209,0.1072,-1.2708,1,0.4671,0.3,1.0,0.5095,0.2074,0.0,1.4756
25350,0.0002,7113,1,158,-1.0159,-0.327,1,0.2545,1.0,0.1538,-0.7848,0.0227,0.0,1.7187
12031,0.0005,10862,1,214,-0.2503,-0.1677,1,0.3743,0.2,1.0,-0.4604,0.4545,0.0,-0.8493
21005,0.0005,8208,1,158,-1.0115,-0.3145,0,0.3443,1.0,0.0684,1.0505,0.0114,0.0,1.1869
32718,0.0006,4327,2,61,1.1811,0.3942,1,0.2066,0.1,0.5812,1.2628,0.0881,0.0,-0.7809
42983,0.0006,5332,2,209,0.0615,-1.3527,0,0.6737,1.0,1.0,1.4762,0.3494,0.0,1.5136
21017,0.0006,10748,1,214,-0.2822,-0.2607,0,0.3743,0.5,0.4615,1.0548,0.0682,0.0,0.5791
25398,0.0004,9175,2,201,0.8889,0.047,0,0.6557,0.3,1.0,0.9406,0.3267,0.4,1.3464
26880,0.0006,9184,1,19,-0.7995,-0.7234,0,1.0,0.2,0.3932,1.4859,0.0739,0.0,0.8906
9950,0.0006,6701,2,201,0.8418,0.0325,0,0.2964,0.0,1.0,-0.9992,0.7358,0.4,0.3891
23198,0.0006,3849,1,214,-0.333,0.1056,1,0.2066,0.3,1.0,1.155,0.5256,0.4,-0.4542
2953,0.0004,7483,3,189,0.3074,0.8536,1,0.2365,1.0,0.4786,-0.5703,0.071,0.0,0.1004
33112,0.0007,8683,1,13,-0.8462,0.2136,0,0.4042,0.1,1.0,0.5095,0.8097,0.4,-0.8341
26549,0.0007,4055,1,53,-0.4955,-0.8535,1,0.7485,0.2,0.2393,0.8306,0.0341,0.0,0.5791
10631,0.0007,10006,2,201,0.5959,-0.2667,0,0.7485,0.2,0.0684,0.6205,0.0199,0.0,1.9163
135,0.0007,10001,1,85,-1.1133,-0.9931,0,0.7485,0.1,1.0,-1.2137,0.6136,0.0,-0.8569
13459,0.0007,6252,2,94,1.81,0.146,0,0.2395,0.2,0.0342,-1.6405,0.0085,0.0,-0.8569
31645,0.0005,10783,1,41,-0.7471,-0.2634,1,0.2096,0.1,1.0,0.725,0.983,0.8,1.6959
22428,0.0,752,1,31,-0.934,-1.2801,0,0.494,0.1,1.0,0.0784,0.3949,0.8,1.7415
30189,0.0007,7707,4,186,-1.5439,-2.6962,1,0.2096,0.1,1.0,-0.4604,0.4688,0.0,1.5136
43002,0.0007,10216,1,28,-0.4154,1.0031,1,0.1497,0.1,0.8034,0.1862,0.2642,0.0,-0.5758
36646,0.0007,10817,0,96,1.9074,0.616,1,0.1198,0.0,1.0,-1.4292,0.5767,0.8,1.8251
25444,0.0007,11156,1,214,-0.3409,-0.3622,0,0.4491,0.1,1.0,-1.2137,0.5028,0.0,0.4879
46059,0.0003,1500,2,64,-0.0691,-0.707,1,0.3743,0.0,1.0,0.6173,0.2188,1.0,1.4984
19255,0.0007,2098,2,73,-0.4108,-1.6181,0,0.5868,0.2,1.0,0.294,0.2983,0.0,-0.8569
5015,0.0007,1664,1,80,-0.7001,-0.4558,1,0.3293,0.1,1.0,0.725,0.5653,0.4,1.582
46838,0.0007,9175,2,209,0.1592,-1.3538,0,0.509,0.2,1.0,-1.7536,0.2244,0.0,1.0121
3019,0.0005,5936,2,94,1.5927,0.1776,0,0.494,0.2,1.0,0.9395,0.2102,0.8,0.8982
21256,0.0008,7477,2,209,0.0978,-1.3688,0,0.4491,1.0,0.6496,0.2918,0.0994,0.0,0.8526
12328,0.0008,1595,2,94,1.7491,0.4671,0,0.2994,0.1,0.3077,-0.0229,0.5057,0.0,-0.8569
19373,0.0003,2690,1,80,-0.7434,-0.6134,1,0.1946,0.1,1.0,1.3716,0.5426,0.4,-0.8569
6021,0.0008,6765,3,166,-0.4632,1.5399,0,1.0,0.7,0.1709,-0.5693,0.0284,1.0,1.9163
13757,0.0034,8498,2,130,1.4124,-0.1314,1,0.2964,0.3,1.0,-0.3537,0.3324,0.4,0.9134
8607,0.0008,7311,1,214,-0.2335,-0.1167,0,0.5988,0.3,0.5641,-1.0014,0.1619,0.0,-0.8493
31612,0.0,7356,1,151,-0.9037,-0.6603,0,0.4491,0.4,0.8889,-1.3226,0.1392,0.0,-0.7201
36745,0.0008,6852,1,13,-0.9041,0.1888,1,0.2695,0.2,1.0,0.1851,0.3295,1.0,1.7491
24670,0.0008,5405,1,158,-0.927,-0.5087,1,0.3593,0.2,0.8718,0.725,0.1335,0.8,1.0425
29391,0.0008,10198,2,201,0.7271,0.0295,1,0.2246,0.2,1.0,0.725,0.5227,0.0,1.6199
23600,0.0008,8791,1,13,-0.8589,0.3525,0,0.524,1.0,0.5128,-1.5349,0.0795,0.0,1.9087
11736,0.0008,308,2,34,0.21,-1.243,0,0.3743,0.2,0.0513,-0.0283,0.0057,0.0,-0.8569
23806,0.0008,2018,2,95,0.6299,-1.1519,0,0.8234,0.0,0.7009,0.9406,0.1051,0.0,1.4148
17368,0.0009,9395,2,119,-0.1865,-0.9301,0,0.8952,0.1,1.0,-0.2449,0.2926,0.0,0.7158
25908,0.0,5934,1,182,-1.1,-0.917,0,0.4042,0.4,1.0,0.5095,0.4034,0.8,0.3739
445,0.0009,4825,2,201,0.8191,0.0663,1,0.3892,1.0,0.0,0.6173,0.2017,0.4,-0.8569
26323,0.0009,3071,2,119,-0.1059,-1.0253,1,0.2485,0.0,1.0,0.5095,0.7614,0.0,-0.8037
32381,0.0009,5968,2,34,0.3627,-1.1535,1,0.3683,0.0,1.0,0.0784,0.9972,0.0,1.6351
64,0.0001,5191,3,105,-1.0406,2.4097,1,0.1647,0.1,0.8889,0.2929,0.1364,0.4,1.9163
35618,0.0009,6777,2,95,0.6182,-1.0444,0,0.5838,0.4,0.1709,-1.7525,0.2841,0.0,-0.8569
7551,0.001,1831,1,13,-0.6174,0.529,1,0.2395,0.1,0.188,-0.455,0.1335,0.0,-0.8569
47113,0.0008,6765,3,125,-0.216,2.0694,0,0.2934,1.0,0.5641,-0.8926,0.0852,1.0,0.9666
12366,0.0008,6765,3,166,-0.4905,1.5347,1,0.4192,0.6,0.1026,-0.9949,0.0142,1.0,1.9163
2149,0.0008,6765,3,125,-0.2485,2.0699,0,0.7934,0.6,0.6496,1.0462,0.1051,1.0,1.9163
43998,0.0,1352,1,214,-0.1739,-0.1456,0,0.7455,0.1,1.0,0.294,0.9744,0.4,0.3891
27412,0.001,695,2,95,0.6743,-0.827,2,0.3144,0.5,0.1709,-1.1124,0.0227,0.0,1.9011
6281,0.001,2691,2,94,1.3543,-0.0439,1,0.5988,1.0,0.0,0.6173,0.2017,0.0,1.9163
37738,0.0008,5405,1,158,-0.9266,-0.4964,1,0.2994,0.1,1.0,-1.2148,0.5994,0.8,1.0425
11998,0.001,10820,2,94,1.5021,0.2303,0,0.3623,0.0,1.0,0.5095,0.2812,1.0,1.0197
15846,0.0007,10817,0,96,1.8784,0.6504,1,0.1347,0.0,1.0,1.3716,0.4091,0.8,1.5972
20950,0.001,4776,2,61,1.3034,0.3184,1,0.2994,0.4,1.0,0.6173,0.5426,0.0,0.6019
33072,0.001,8185,1,214,-0.2339,0.4357,0,0.4192,0.1,1.0,-1.6448,0.8608,0.0,0.0928
28991,0.001,10079,1,13,-0.8491,0.5164,1,0.2126,0.1,0.3932,-1.7525,0.0597,0.0,-0.1655
29498,0.0003,4619,2,144,-0.0221,-1.0071,1,0.3892,0.1,1.0,-1.3161,0.3295,0.0,-0.287
37542,0.001,8250,2,209,-0.0059,-1.3769,0,0.5958,0.4,1.0,0.1851,0.3438,0.0,1.316
39733,0.0006,3849,1,214,-0.3531,0.0764,1,0.2066,0.3,1.0,-0.7837,0.3182,0.4,-0.401
14154,0.001,9088,1,80,-0.7816,-0.5681,1,0.2036,0.2,0.6325,1.4859,0.0966,0.0,-0.8569
14639,0.001,6027,2,64,-0.026,-0.8156,0,0.3892,0.0,1.0,-1.7525,0.5767,0.0,0.6019
415,0.001,308,1,91,0.0013,-0.1055,0,0.5838,0.1,1.0,-0.4604,0.1818,0.0,-0.4162
11996,0.001,10820,2,94,1.536,0.2573,1,0.1916,0.0,1.0,-1.5381,0.5199,1.0,1.0045
18233,0.001,10613,3,54,0.7918,1.3476,0,0.4192,0.1,0.2906,-0.0293,0.0426,0.0,1.3616
12161,0.0008,9005,1,42,-0.7318,-1.0758,0,0.476,0.1,1.0,0.725,0.5994,0.0,1.2629
28669,0.0009,8052,2,64,-0.0132,-0.8889,0,0.5659,0.2,1.0,0.6173,0.554,0.0,-0.8569
21036,0.0011,552,2,95,0.7061,-0.8363,0,0.7485,0.2,1.0,-0.8915,0.2699,0.0,-0.8341
35221,0.0011,4193,2,64,0.022,-0.985,0,0.7156,0.2,0.1197,0.724,0.017,0.0,1.8099
41276,0.0011,8438,2,75,0.2098,-0.8336,0,0.9132,0.1,1.0,1.3716,0.3068,0.0,0.6702
43843,0.0011,9655,2,94,1.4829,0.2998,0,0.4641,0.2,1.0,0.9406,0.5938,0.4,0.9058
31452,0.0011,160,2,94,1.7742,0.3151,1,0.1796,0.0,1.0,-1.537,1.0,0.4,1.1033
38254,0.0011,6134,1,216,-1.2993,-0.806,1,0.4042,0.1,0.359,-0.0304,0.071,0.0,1.2097
944,0.0011,2357,2,169,0.6088,0.1179,1,0.3593,0.6,0.2906,-1.0003,0.0824,0.0,1.7339
