gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1.0,0.0,0.0,0.0,0.6771,1.0,2,1,0,2,2,0,2,2,0,1.0,0,1.2942,1.216,1.0
1.0,0.0,0.0,0.0,-0.3002,1.0,0,1,2,0,2,2,2,2,0,1.0,2,1.354,0.1784,0.0
0.0,0.0,1.0,1.0,1.4915,1.0,2,1,2,2,2,2,2,2,2,0.0,1,1.6116,2.4781,0.0
0.0,0.0,0.0,0.0,0.7993,1.0,0,2,1,1,1,1,1,1,1,0.0,3,-1.4661,-0.5558,0.0
1.0,0.0,0.0,1.0,1.573,1.0,2,1,2,0,2,0,2,2,2,0.0,0,1.3939,2.2517,0.0
0.0,0.0,1.0,1.0,-0.911,1.0,0,0,0,0,2,2,0,0,0,0.0,1,-0.3178,-0.7742,1.0
0.0,0.0,0.0,0.0,-0.463,1.0,0,1,0,2,2,0,0,2,0,1.0,2,0.8405,-0.185,0.0
1.0,1.0,0.0,0.0,-1.2774,0.0,1,0,0,0,2,0,0,2,0,1.0,2,-0.8346,-0.9899,1.0
1.0,0.0,1.0,0.0,-0.8295,1.0,0,2,1,1,1,1,1,1,1,0.0,0,-1.4943,-0.9181,0.0
1.0,0.0,0.0,0.0,-1.2774,1.0,0,2,1,1,1,1,1,1,0,0.0,3,-1.4827,-0.9985,1.0
0.0,0.0,1.0,0.0,1.0436,1.0,2,0,0,2,0,2,0,0,2,1.0,1,-0.1616,0.54,0.0
1.0,0.0,1.0,1.0,0.6771,1.0,0,0,2,2,0,2,0,0,0,0.0,1,-0.1716,0.3039,0.0
0.0,0.0,0.0,0.0,-0.0966,1.0,0,0,2,2,0,0,0,0,0,1.0,0,-0.3145,-0.3317,0.0
1.0,0.0,1.0,1.0,0.5957,1.0,2,1,0,2,0,0,2,2,0,1.0,2,1.1496,1.0892,1.0
1.0,0.0,1.0,1.0,-1.2774,0.0,1,0,0,2,0,0,0,0,0,0.0,2,-1.1487,-0.9941,1.0
1.0,0.0,1.0,0.0,1.6137,1.0,2,0,2,2,2,2,2,2,2,1.0,1,0.8471,1.8046,0.0
0.0,0.0,0.0,1.0,-0.6259,1.0,0,0,0,0,0,0,2,2,0,1.0,3,-0.0021,-0.5248,1.0
0.0,1.0,1.0,0.0,1.573,1.0,2,1,2,2,2,2,0,0,2,1.0,1,1.0499,1.9801,0.0
1.0,1.0,1.0,0.0,-1.2367,1.0,0,1,0,0,2,0,2,2,0,1.0,1,1.0216,-0.9272,0.0
0.0,0.0,1.0,1.0,-0.2187,1.0,0,0,2,2,2,2,0,0,1,0.0,3,0.0461,-0.1799,0.0
1.0,0.0,0.0,0.0,-1.2774,1.0,0,2,1,1,1,1,1,1,0,0.0,0,-1.481,-0.9985,0.0
1.0,1.0,0.0,0.0,-1.2774,1.0,0,0,0,0,0,0,0,0,0,0.0,0,-0.6485,-0.9874,0.0
0.0,0.0,1.0,1.0,1.6137,1.0,2,1,2,2,0,2,2,0,2,0.0,0,1.1679,2.1941,0.0
1.0,0.0,0.0,0.0,-1.1146,1.0,0,1,0,0,0,0,0,0,0,1.0,2,0.1641,-0.8675,1.0
0.0,0.0,0.0,0.0,0.555,1.0,0,1,0,0,2,0,0,0,0,1.0,1,0.3336,0.5591,0.0
1.0,0.0,0.0,0.0,0.0663,1.0,2,1,0,2,2,0,2,2,0,1.0,2,1.3822,0.5595,1.0
0.0,0.0,0.0,0.0,-0.8702,1.0,2,1,0,0,2,0,2,2,0,1.0,0,1.0997,-0.5194,1.0
1.0,0.0,1.0,1.0,-0.911,1.0,0,0,0,2,0,0,0,0,1,0.0,3,-0.5056,-0.7974,0.0
0.0,0.0,1.0,1.0,1.5323,1.0,2,0,2,2,0,0,2,0,2,1.0,1,0.1475,1.1436,0.0
0.0,0.0,1.0,1.0,-0.6259,1.0,0,2,1,1,1,1,1,1,1,0.0,3,-1.4628,-0.8228,0.0
0.0,0.0,0.0,0.0,1.2472,1.0,2,0,2,2,2,2,2,0,2,1.0,1,0.5015,1.1388,0.0
0.0,0.0,1.0,0.0,-0.7888,1.0,2,0,2,2,0,2,2,0,0,1.0,2,0.3802,-0.5741,0.0
0.0,0.0,0.0,0.0,0.6771,1.0,2,1,0,0,0,0,0,2,0,1.0,2,0.656,0.7173,0.0
1.0,0.0,0.0,0.0,-1.2367,1.0,0,0,0,2,0,0,0,0,0,0.0,3,-0.5155,-0.9646,0.0
0.0,0.0,0.0,0.0,-1.2367,1.0,0,1,0,0,0,0,2,0,0,1.0,2,0.5281,-0.9438,1.0
1.0,0.0,0.0,0.0,0.7993,1.0,2,0,2,0,0,2,2,2,2,1.0,1,0.4982,0.8547,0.0
0.0,0.0,1.0,1.0,1.4915,1.0,2,0,2,0,2,2,0,0,2,1.0,1,-0.0203,0.8707,0.0
0.0,1.0,0.0,0.0,0.4328,1.0,2,1,0,2,0,0,2,0,0,1.0,2,0.8471,0.6873,0.0
0.0,0.0,0.0,0.0,-0.7074,1.0,0,1,2,2,0,0,2,2,0,1.0,1,1.1413,-0.3777,1.0
0.0,1.0,1.0,0.0,-0.3002,1.0,2,0,2,0,0,2,2,0,0,1.0,1,0.1575,-0.2337,0.0
0.0,1.0,1.0,0.0,-0.9924,1.0,2,1,0,2,0,0,0,0,0,1.0,1,0.5281,-0.7278,1.0
0.0,1.0,1.0,1.0,1.1251,1.0,0,0,2,2,2,2,0,2,1,1.0,1,0.3353,0.96,0.0
1.0,1.0,0.0,0.0,-0.5852,1.0,2,1,0,0,0,0,2,2,0,1.0,2,1.02,-0.2337,1.0
0.0,0.0,1.0,1.0,1.2472,1.0,2,1,2,0,0,0,2,2,1,1.0,1,1.1595,1.7788,0.0
1.0,1.0,1.0,1.0,1.3694,1.0,2,1,0,2,2,2,2,2,1,1.0,2,1.452,2.1166,0.0
0.0,0.0,1.0,1.0,0.0663,1.0,2,2,1,1,1,1,1,1,2,0.0,1,-1.3232,-0.6126,0.0
0.0,0.0,0.0,0.0,1.6137,1.0,2,1,0,0,2,2,2,2,2,1.0,1,1.4204,2.4598,0.0
0.0,0.0,1.0,0.0,0.5957,1.0,2,1,0,0,2,0,2,2,0,1.0,2,1.1878,1.0707,0.0
1.0,0.0,0.0,0.0,1.1251,1.0,2,1,0,2,0,0,2,0,0,1.0,0,0.8355,1.399,0.0
1.0,0.0,1.0,0.0,1.6137,0.0,1,0,2,2,2,0,0,0,2,0.0,0,-0.7532,0.3002,0.0
0.0,0.0,1.0,1.0,-0.5852,1.0,0,0,0,0,2,2,0,0,1,1.0,1,-0.3444,-0.5849,0.0
0.0,0.0,0.0,0.0,-0.9517,1.0,2,1,0,0,0,0,2,2,0,0.0,2,0.9851,-0.629,1.0
0.0,0.0,0.0,0.0,-1.196,1.0,0,0,0,2,0,2,2,2,0,1.0,2,0.3503,-0.8997,0.0
1.0,0.0,1.0,0.0,0.5957,1.0,2,1,0,2,0,0,0,0,1,1.0,2,0.4699,0.6041,0.0
0.0,0.0,0.0,0.0,-0.0558,1.0,0,0,0,2,2,2,2,2,2,0.0,3,0.4799,0.095,0.0
0.0,0.0,1.0,1.0,0.7179,1.0,0,2,1,1,1,1,1,1,2,0.0,0,-1.4827,-0.5964,0.0
1.0,0.0,0.0,0.0,-0.911,1.0,0,1,2,0,2,0,0,0,0,1.0,3,0.5015,-0.6157,0.0
1.0,0.0,0.0,0.0,-1.2774,1.0,0,0,0,0,0,2,0,0,0,0.0,3,-0.5222,-0.9858,0.0
0.0,0.0,1.0,1.0,0.7993,1.0,0,2,1,1,1,1,1,1,1,1.0,2,-1.4744,-0.5259,0.0
1.0,1.0,1.0,1.0,1.2879,1.0,2,1,2,0,2,2,2,2,2,1.0,0,1.5567,2.1266,0.0
1.0,0.0,1.0,1.0,1.2065,1.0,2,2,1,1,1,1,1,1,2,1.0,0,-1.3464,-0.3785,0.0
0.0,0.0,0.0,1.0,-1.196,1.0,0,0,2,0,0,2,0,2,0,1.0,0,-0.0087,-0.9291,0.0
0.0,1.0,0.0,0.0,0.9622,1.0,2,1,2,2,2,0,2,2,1,0.0,2,1.5202,1.703,0.0
0.0,0.0,0.0,0.0,0.555,1.0,0,0,0,0,0,0,0,2,1,0.0,1,-0.3028,0.1797,0.0
0.0,0.0,1.0,1.0,-0.9924,1.0,0,0,2,2,0,0,0,0,0,0.0,3,-0.3361,-0.7945,0.0
1.0,1.0,0.0,0.0,-0.0966,1.0,0,0,2,2,0,0,2,2,0,1.0,2,0.332,-0.0753,0.0
0.0,0.0,1.0,1.0,0.5143,1.0,2,2,1,1,1,1,1,1,1,1.0,1,-1.2916,-0.4703,0.0
0.0,0.0,0.0,1.0,-1.2774,1.0,0,1,0,0,0,0,2,0,0,1.0,2,0.4849,-0.9724,1.0
0.0,0.0,1.0,1.0,-0.8702,0.0,1,0,2,0,0,0,2,2,0,0.0,2,-0.4723,-0.7578,0.0
0.0,0.0,1.0,0.0,-1.0331,1.0,0,1,0,0,2,0,0,0,0,1.0,0,0.3453,-0.788,1.0
0.0,0.0,0.0,0.0,0.3921,1.0,0,1,0,2,2,2,2,2,0,1.0,0,1.2975,0.9031,0.0
0.0,0.0,1.0,0.0,0.6771,1.0,0,2,1,1,1,1,1,1,2,1.0,0,-1.4827,-0.5777,0.0
1.0,0.0,0.0,0.0,-0.9517,1.0,2,1,0,2,0,0,2,2,0,1.0,1,1.1479,-0.6018,0.0
0.0,0.0,1.0,0.0,0.107,1.0,0,0,2,0,0,0,2,0,1,1.0,0,-0.0868,-0.0293,0.0
0.0,0.0,1.0,1.0,0.6364,1.0,0,2,1,1,1,1,1,1,2,0.0,0,-1.4661,-0.5408,0.0
0.0,0.0,1.0,1.0,0.555,1.0,0,2,1,1,1,1,1,1,2,1.0,3,-1.4894,-0.5981,0.0
1.0,0.0,1.0,0.0,-0.1373,0.0,1,0,0,0,0,0,2,0,0,0.0,3,-1.0307,-0.5619,0.0
1.0,0.0,1.0,1.0,-0.0966,1.0,0,1,0,2,2,0,0,0,0,0.0,0,0.5746,0.1273,0.0
1.0,1.0,0.0,0.0,-1.2774,1.0,0,1,0,0,0,2,0,0,0,0.0,2,0.3303,-0.9744,0.0
1.0,0.0,1.0,1.0,1.3694,1.0,2,0,2,0,2,2,2,2,2,1.0,3,0.6394,1.5153,0.0
0.0,0.0,0.0,0.0,1.3287,1.0,2,1,2,2,2,0,2,2,0,1.0,1,1.5384,2.1302,0.0
1.0,0.0,0.0,0.0,1.6137,1.0,2,1,0,2,2,0,2,2,2,1.0,0,1.2011,2.2856,0.0
0.0,0.0,0.0,0.0,-0.8295,1.0,2,1,2,0,0,0,0,0,0,1.0,2,0.4716,-0.598,1.0
1.0,0.0,1.0,1.0,1.573,1.0,2,0,2,2,0,2,0,0,1,1.0,1,0.0694,1.089,0.0
1.0,0.0,0.0,0.0,-1.1146,1.0,0,2,1,1,1,1,1,1,0,0.0,3,-1.4528,-0.9572,1.0
1.0,0.0,0.0,0.0,0.7993,1.0,0,2,1,1,1,1,1,1,2,0.0,0,-1.4545,-0.5186,0.0
0.0,1.0,1.0,0.0,-0.3002,1.0,0,1,0,2,2,0,2,2,0,1.0,2,1.1213,0.1027,1.0
1.0,0.0,0.0,0.0,-1.2774,1.0,0,2,1,1,1,1,1,1,0,0.0,3,-1.481,-0.9985,0.0
0.0,0.0,1.0,1.0,-1.2774,1.0,0,2,1,1,1,1,1,1,0,0.0,2,-1.506,-0.9988,0.0
1.0,0.0,0.0,0.0,0.2292,1.0,2,1,0,0,2,2,2,0,1,0.0,0,1.005,0.5844,0.0
0.0,1.0,1.0,0.0,1.3694,0.0,1,0,0,2,2,0,2,0,1,0.0,0,-0.6385,0.329,0.0
1.0,0.0,1.0,0.0,1.4508,1.0,2,1,0,2,2,2,2,2,2,1.0,0,1.5035,2.3531,1.0
1.0,0.0,0.0,0.0,-1.1146,0.0,1,0,0,0,0,0,0,0,0,0.0,3,-1.3448,-0.9632,0.0
0.0,0.0,1.0,1.0,1.6137,1.0,2,1,2,2,0,0,2,2,1,1.0,2,1.3091,2.2167,0.0
0.0,0.0,0.0,0.0,-0.0151,0.0,1,0,2,0,0,0,0,0,1,0.0,3,-1.1504,-0.5979,0.0
1.0,0.0,0.0,0.0,0.4328,1.0,2,1,0,0,0,0,2,2,1,0.0,3,0.9834,0.7238,0.0
1.0,0.0,1.0,1.0,1.6137,1.0,0,2,1,1,1,1,1,1,2,0.0,1,-1.5076,-0.4056,0.0
1.0,0.0,1.0,0.0,0.9215,1.0,2,1,2,2,0,0,2,0,0,1.0,2,1.0632,1.3054,1.0
0.0,0.0,0.0,0.0,0.7993,1.0,0,0,2,0,2,2,0,0,1,0.0,1,-0.2264,0.3357,0.0
0.0,0.0,0.0,0.0,0.4328,1.0,0,1,0,2,2,0,2,0,0,1.0,2,0.8937,0.7382,0.0
0.0,1.0,1.0,0.0,0.1885,1.0,2,1,0,0,0,0,0,0,0,1.0,2,0.3901,0.2588,1.0
0.0,0.0,1.0,1.0,1.2879,0.0,1,0,0,2,0,2,2,2,2,1.0,2,-0.3377,0.504,0.0
1.0,0.0,1.0,1.0,-1.196,1.0,0,1,2,2,0,0,2,0,0,0.0,2,0.8338,-0.8978,0.0
0.0,0.0,0.0,0.0,0.1478,0.0,1,0,2,0,0,0,0,0,2,0.0,0,-1.1204,-0.5102,0.0
0.0,0.0,1.0,1.0,-0.911,1.0,2,1,2,0,0,0,2,2,0,1.0,2,1.1795,-0.5374,1.0
0.0,0.0,0.0,0.0,0.3514,1.0,0,2,1,1,1,1,1,1,2,0.0,3,-1.4661,-0.6387,0.0
1.0,0.0,1.0,1.0,-0.2187,1.0,2,1,0,2,0,2,0,0,0,1.0,1,0.6793,-0.0575,0.0
0.0,0.0,1.0,1.0,0.9622,1.0,2,1,0,0,2,0,2,2,1,1.0,1,1.1645,1.4275,0.0
0.0,0.0,0.0,0.0,-1.0738,1.0,0,2,1,1,1,1,1,1,0,0.0,3,-1.4644,-0.9576,0.0
1.0,0.0,0.0,0.0,-1.196,1.0,2,1,0,0,0,0,0,0,0,1.0,2,0.3203,-0.9061,1.0
0.0,0.0,1.0,1.0,-1.0331,1.0,0,0,2,0,0,0,0,0,0,0.0,3,-0.4674,-0.8527,0.0
0.0,0.0,1.0,1.0,-1.1553,1.0,0,2,1,1,1,1,1,1,0,0.0,3,-1.4594,-0.9797,0.0
1.0,0.0,0.0,0.0,0.0256,1.0,0,1,2,0,0,2,2,0,2,1.0,2,0.8039,0.3292,0.0
0.0,1.0,0.0,0.0,-0.2187,1.0,2,1,0,0,2,0,0,0,0,1.0,2,0.4416,-0.0646,1.0
1.0,0.0,1.0,0.0,1.6137,1.0,2,2,1,1,1,1,1,1,2,1.0,0,-1.3697,-0.2463,0.0
1.0,0.0,0.0,0.0,-1.2774,1.0,0,2,1,1,1,1,1,1,0,0.0,3,-1.496,-0.9987,0.0
1.0,1.0,0.0,0.0,1.573,0.0,1,0,2,2,0,0,2,2,1,1.0,2,-0.2762,0.752,0.0
0.0,0.0,0.0,0.0,-0.7888,1.0,2,1,0,0,0,0,0,2,0,1.0,2,0.7042,-0.4707,0.0
0.0,0.0,1.0,1.0,-0.3002,0.0,1,0,2,2,2,0,2,2,0,1.0,1,-0.2048,-0.344,1.0
1.0,0.0,0.0,0.0,1.4101,1.0,0,0,0,0,0,2,0,0,2,0.0,0,-0.4723,0.4318,0.0
1.0,0.0,0.0,0.0,-1.2774,0.0,1,0,0,0,0,0,0,2,0,1.0,2,-0.9742,-0.9918,1.0
1.0,0.0,0.0,0.0,-1.2367,1.0,0,0,0,0,0,0,0,0,0,0.0,2,-0.6784,-0.9715,1.0
0.0,0.0,0.0,0.0,0.4328,1.0,2,2,1,1,1,1,1,1,2,1.0,1,-1.2983,-0.4829,0.0
0.0,0.0,0.0,0.0,-0.3816,1.0,0,1,2,0,0,0,0,0,0,1.0,0,0.3403,-0.2222,0.0
0.0,0.0,1.0,1.0,1.2879,1.0,0,2,1,1,1,1,1,1,2,0.0,3,-1.481,-0.4433,0.0
1.0,0.0,0.0,1.0,1.0029,1.0,0,2,1,1,1,1,1,1,2,1.0,3,-1.501,-0.4906,0.0
0.0,1.0,1.0,0.0,-1.2774,1.0,0,1,0,0,0,0,0,0,0,1.0,3,0.1891,-0.9763,1.0
0.0,1.0,1.0,1.0,1.6137,1.0,2,0,2,2,2,2,2,2,2,1.0,1,0.774,1.8294,0.0
0.0,0.0,0.0,0.0,-0.9924,1.0,2,0,2,0,0,2,0,2,0,0.0,2,0.2123,-0.7586,1.0
0.0,0.0,1.0,0.0,1.1658,1.0,2,1,0,2,0,0,2,2,2,1.0,0,1.2061,1.6288,0.0
1.0,0.0,0.0,0.0,1.2879,1.0,2,1,2,2,0,0,0,0,1,1.0,1,0.6494,1.3276,0.0
1.0,1.0,1.0,0.0,1.573,1.0,2,2,1,1,1,1,1,1,2,0.0,0,-1.3564,-0.2321,0.0
0.0,0.0,1.0,1.0,1.3287,1.0,2,1,2,2,0,2,2,0,2,1.0,1,1.1396,1.8254,0.0
1.0,0.0,0.0,0.0,-1.196,1.0,0,2,1,1,1,1,1,1,1,0.0,3,-1.501,-0.9803,0.0
1.0,0.0,0.0,0.0,-1.2774,1.0,0,0,0,0,0,0,0,0,0,1.0,2,-0.6352,-0.9873,1.0
1.0,0.0,0.0,1.0,-0.0966,1.0,0,0,0,2,2,0,2,0,1,0.0,1,-0.0087,-0.1554,0.0
1.0,0.0,1.0,1.0,-0.7074,1.0,0,0,0,2,2,2,0,2,0,1.0,3,0.1575,-0.5344,0.0
0.0,0.0,1.0,1.0,-0.9924,1.0,0,0,0,0,0,2,2,2,0,1.0,2,0.1259,-0.7583,0.0
1.0,0.0,0.0,0.0,-1.0331,1.0,2,1,0,0,0,0,2,2,0,0.0,3,1.005,-0.718,1.0
0.0,0.0,1.0,1.0,1.5323,1.0,2,1,2,2,2,0,2,2,1,1.0,1,1.4421,2.4938,0.0
1.0,0.0,1.0,1.0,1.2065,1.0,0,0,2,2,2,2,2,2,2,0.0,2,0.7092,1.295,0.0
0.0,0.0,1.0,1.0,-1.0738,1.0,0,2,1,1,1,1,1,1,0,0.0,3,-1.4977,-0.9573,0.0
0.0,0.0,1.0,1.0,-0.7481,1.0,0,1,0,0,0,0,0,2,0,1.0,0,0.5364,-0.4985,0.0
0.0,0.0,0.0,0.0,-0.4223,1.0,2,1,0,0,0,0,2,0,0,1.0,0,0.6444,-0.2031,0.0
1.0,0.0,1.0,1.0,-0.4223,1.0,0,2,1,1,1,1,1,1,1,0.0,3,-1.4827,-0.822,0.0
1.0,0.0,1.0,1.0,-0.6666,1.0,0,0,2,0,2,0,2,0,2,0.0,3,-0.017,-0.5553,0.0
1.0,0.0,0.0,0.0,-0.911,1.0,2,2,1,1,1,1,1,1,2,0.0,0,-1.2983,-0.8963,0.0
0.0,0.0,0.0,1.0,-0.7888,1.0,0,0,2,2,0,0,0,0,0,1.0,2,-0.2912,-0.6699,0.0
0.0,0.0,1.0,0.0,-0.5038,1.0,2,1,2,0,0,0,0,0,0,0.0,2,0.5862,-0.3044,1.0
0.0,0.0,0.0,0.0,-1.2367,1.0,0,1,0,0,0,0,0,0,0,1.0,2,0.1641,-0.9477,0.0
1.0,0.0,0.0,0.0,0.84,1.0,2,0,0,2,2,2,0,2,2,1.0,0,0.3037,0.7401,0.0
0.0,0.0,1.0,1.0,-0.8702,1.0,0,2,1,1,1,1,1,1,1,0.0,3,-1.4678,-0.9042,0.0
1.0,0.0,1.0,0.0,1.4915,1.0,0,2,1,1,1,1,1,1,2,0.0,3,-1.491,-0.4055,0.0
0.0,0.0,0.0,0.0,-1.1553,1.0,0,1,0,0,0,0,0,0,0,1.0,0,0.204,-0.8869,1.0
1.0,0.0,1.0,0.0,1.6137,1.0,2,0,2,2,2,2,2,2,2,1.0,0,0.8072,1.7538,0.0
1.0,1.0,1.0,0.0,1.0436,0.0,1,0,0,2,2,0,0,2,0,1.0,2,-0.6468,0.163,1.0
0.0,0.0,1.0,1.0,-0.6666,1.0,0,2,1,1,1,1,1,1,0,0.0,2,-1.4744,-0.8655,0.0
1.0,0.0,1.0,0.0,0.4328,1.0,0,1,2,0,2,2,0,0,1,1.0,0,0.6477,0.5551,0.0
0.0,0.0,1.0,0.0,-1.2367,1.0,2,1,0,0,2,2,2,2,0,1.0,2,1.3174,-0.9002,1.0
1.0,0.0,1.0,0.0,-0.7481,1.0,0,0,0,2,2,2,2,2,2,0.0,3,0.5713,-0.4857,0.0
0.0,0.0,1.0,0.0,0.84,1.0,0,1,0,0,2,0,2,2,1,1.0,0,1.0,1.2001,1.0
0.0,0.0,0.0,0.0,-0.0151,1.0,0,2,1,1,1,1,1,1,1,0.0,0,-1.4694,-0.7184,0.0
0.0,0.0,1.0,0.0,0.0663,1.0,2,2,1,1,1,1,1,1,0,0.0,2,-1.3315,-0.663,0.0
0.0,1.0,0.0,0.0,-0.7074,1.0,2,1,0,0,0,0,0,0,0,1.0,3,0.322,-0.5016,1.0
0.0,1.0,0.0,0.0,-1.0331,1.0,0,1,2,0,0,0,0,0,0,0.0,0,0.3885,-0.7851,1.0
0.0,0.0,1.0,1.0,-0.7074,1.0,2,1,0,2,2,0,2,2,0,1.0,0,1.349,-0.319,0.0
1.0,0.0,1.0,0.0,1.1658,1.0,0,2,1,1,1,1,1,1,1,1.0,1,-1.4694,-0.4547,0.0
0.0,0.0,0.0,0.0,-1.2774,0.0,1,0,0,2,0,0,0,0,0,0.0,0,-1.157,-0.9942,1.0
0.0,0.0,0.0,0.0,-1.2774,1.0,0,0,0,0,0,0,0,0,0,0.0,3,-0.6468,-0.9874,0.0
1.0,0.0,0.0,0.0,-0.9924,1.0,2,1,0,0,0,0,0,2,0,0.0,0,0.656,-0.7149,1.0
1.0,0.0,1.0,1.0,0.0256,1.0,0,0,2,0,2,0,2,2,1,0.0,1,0.332,0.0757,0.0
0.0,0.0,0.0,0.0,-0.7888,1.0,0,1,0,2,2,0,0,0,0,1.0,2,0.4815,-0.5166,1.0
0.0,0.0,1.0,0.0,-1.2774,0.0,1,0,0,0,0,0,0,0,0,1.0,2,-1.3282,-0.9965,1.0
1.0,0.0,0.0,0.0,-0.5038,1.0,0,0,0,2,0,0,0,0,0,1.0,3,-0.4308,-0.5554,0.0
1.0,0.0,0.0,0.0,-1.196,0.0,1,0,0,0,0,2,0,0,0,0.0,2,-1.142,-0.9712,0.0
0.0,0.0,0.0,0.0,-0.7888,1.0,0,2,1,1,1,1,1,1,1,0.0,2,-1.4993,-0.8993,0.0
0.0,0.0,1.0,0.0,0.3106,1.0,2,0,0,2,0,0,0,0,0,0.0,1,-0.2713,0.0429,0.0
1.0,0.0,1.0,1.0,0.4328,1.0,2,0,2,0,0,2,0,2,1,1.0,1,0.2372,0.3936,0.0
1.0,0.0,1.0,0.0,-1.0738,1.0,0,1,0,2,2,0,0,2,0,1.0,2,0.8721,-0.773,1.0
0.0,0.0,1.0,1.0,1.4915,1.0,0,2,1,1,1,1,1,1,2,0.0,0,-1.496,-0.4002,0.0
0.0,0.0,1.0,1.0,1.6137,1.0,2,1,2,2,2,0,2,2,2,0.0,1,1.4936,2.5815,0.0
1.0,0.0,1.0,1.0,1.0843,1.0,0,2,1,1,1,1,1,1,2,0.0,1,-1.511,-0.4809,0.0
0.0,0.0,1.0,0.0,-0.5038,1.0,0,1,2,2,0,2,2,0,0,1.0,2,1.0565,-0.1679,0.0
1.0,0.0,1.0,1.0,-0.3409,1.0,2,2,1,1,1,1,1,1,2,1.0,0,-1.3514,-0.7481,0.0
1.0,0.0,0.0,0.0,1.0843,1.0,2,1,0,2,2,2,2,2,0,1.0,2,1.5484,1.8709,0.0
1.0,0.0,1.0,1.0,1.6137,1.0,2,1,0,2,2,2,2,2,2,1.0,0,1.5783,2.5428,0.0
1.0,0.0,0.0,1.0,-1.2774,1.0,0,2,1,1,1,1,1,1,0,0.0,3,-1.4628,-0.9983,0.0
0.0,0.0,1.0,0.0,-0.2187,1.0,0,1,2,0,0,2,2,2,1,1.0,1,1.2343,0.1763,0.0
0.0,0.0,0.0,0.0,-0.7481,1.0,0,1,0,2,0,2,0,0,0,1.0,1,0.5081,-0.5164,0.0
1.0,0.0,1.0,1.0,1.573,1.0,2,1,2,0,2,0,2,2,2,0.0,2,1.3556,2.262,0.0
1.0,0.0,0.0,1.0,-0.7888,1.0,0,1,0,0,0,0,2,0,0,1.0,1,0.45,-0.551,0.0
1.0,0.0,0.0,0.0,0.4735,1.0,0,1,0,0,0,0,0,0,0,0.0,1,0.1359,0.2989,0.0
0.0,0.0,0.0,0.0,0.0256,1.0,0,1,0,2,0,2,0,0,1,1.0,0,0.5048,0.1779,0.0
1.0,0.0,1.0,1.0,1.6137,0.0,1,0,2,2,2,2,0,2,2,1.0,1,-0.3095,0.8376,0.0
1.0,0.0,0.0,0.0,-1.2774,1.0,0,1,0,0,0,0,0,2,0,0.0,2,0.5031,-0.9721,1.0
0.0,0.0,0.0,0.0,-0.5445,1.0,0,1,2,0,2,2,2,2,0,1.0,2,1.3905,-0.1534,1.0
1.0,0.0,1.0,0.0,1.2879,1.0,0,1,0,2,2,2,2,2,1,1.0,1,1.2526,1.9302,0.0
1.0,0.0,0.0,0.0,-1.2367,1.0,0,0,0,0,0,0,0,0,0,1.0,1,-0.6236,-0.9701,1.0
0.0,0.0,0.0,0.0,-1.2774,0.0,1,0,0,0,0,0,0,0,0,0.0,2,-1.3132,-0.9963,0.0
1.0,0.0,0.0,1.0,1.1658,1.0,0,2,1,1,1,1,1,1,2,0.0,3,-1.496,-0.5111,0.0
